,ResponseId,Dignity_1,Dignity_2,Dignity_3,Dignity_4,Dignity_5,Dignity_6,Face_1,Face_2,Face_3,Face_4,Face_5,Honour_1,Honour_2,Honour_3,Honour_4,SINS_1,SINS_2,SINS_3,SINS_4,SINS_5,SINS_6,SINS_7,SINS_8,SINS_9,SINS_10,SINS_11,SINS_12,SINS_13,SINS_14,SINS_15,SINS_16,SINS_17,SINS_18,SINS_19,SINS_20,SINS_21,SINS_22,SINS_23,SINS_24,SINS_25,SINS_26,SINS_27,SINS_28,SINS_29,SINS_30,SINS_31,SINS_32,Age,Gender,D6_1,D6_2,D6_3,D7,D7_9_TEXT,D8_1,D8_2,D8_3,D9,D10_1,D10_2,D10_3,Dignity_score,Face_score,Honour_score,Bio_Score,Bio_Birth
0,R_1Qa1Sep4YyfVsk7,7.0,6.0,6.0,6.0,2.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,22.0,2.0,5,4,4,10,,,,,Italian,4,4,3,12.8,6.666666666666666,4.533333333333333,0.0,0.0
1,R_3pi54AAbuhkIfxs,6.0,5.0,5.0,6.0,6.0,3.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,6.0,5.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,6.0,22.0,2.0,5,4,4,10,,,,,Dutch/Australian,4,4,3,12.4,10.666666666666666,6.666666666666667,2.0,0.0
2,R_1mEDzu6CZGZui3j,6.0,4.0,7.0,6.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,4.0,6.0,6.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,21.0,2.0,5,5,5,10,,,,,Australian ,5,5,5,14.8,10.333333333333332,5.066666666666666,2.0,0.0
3,R_2s0DOtaLQmRUnQZ,7.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,1.0,5.0,2.0,2.0,5.0,2.0,3.0,6.0,5.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,20.0,1.0,4,2,2,9,Singapore,4,4,2,Australian ,4,2,1,16.0,8.0,6.4,2.0,0.0
4,R_1gGFTvIB7JfQYe4,6.0,6.0,7.0,7.0,7.0,5.0,5.0,4.0,6.0,3.0,5.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,34.0,2.0,4,5,5,9,United Kingdom ,3,2,5,Chinese,4,5,5,15.200000000000001,7.666666666666666,5.866666666666666,0.0,2.0
5,R_2znGLNFVs1F92gz,5.0,6.0,6.0,7.0,7.0,6.0,4.0,5.0,3.0,4.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,6.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,6.0,4.0,3.0,6.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,4.0,6.0,22.0,2.0,5,5,4,10,,,,,Australian,5,5,4,14.8,6.666666666666666,5.333333333333333,0.0,0.0
6,R_1dh4yM2Lpkd4rRC,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,21.0,2.0,4,4,4,10,,,,,Aussie ,4,4,4,12.0,9.333333333333332,6.4,2.0,0.0
7,R_2c0jsYZPXvs61vs,6.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,21.0,2.0,4,3,4,10,,,,,Irish ,2,1,1,12.4,8.333333333333332,5.066666666666666,2.0,0.0
8,R_1I5TwSJLQOP3B29,6.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,22.0,2.0,4,5,4,10,,,,,Too broad to specify one - European ,1,1,1,13.600000000000001,7.0,5.6,0.0,0.0
9,R_23TvkEceS0LYXxw,5.0,6.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,6.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,21.0,2.0,3,2,2,10,,,,,Italian and Maltese ,4,4,4,11.600000000000001,8.0,3.7333333333333334,2.0,0.0
10,R_3pfHAmRbHNDlOJc,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,6.0,5.0,6.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,22.0,2.0,4,4,4,9,Australia,3,3,4,None,,,,10.4,6.333333333333333,5.066666666666666,0.0,1.0
11,R_3QRdjJ0PNkMnCD8,5.0,5.0,6.0,4.0,6.0,4.0,3.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,20.0,2.0,4,4,4,9,Melbourne,4,3,5,Asian,4,4,4,12.0,7.666666666666666,5.6,0.0,1.0
12,R_1mjRLWwT8FK0SGk,3.0,2.0,7.0,3.0,7.0,2.0,6.0,7.0,6.0,7.0,6.0,7.0,4.0,2.0,3.0,7.0,5.0,2.0,6.0,3.0,7.0,3.0,3.0,4.0,5.0,3.0,6.0,2.0,6.0,3.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0,6.0,6.0,6.0,2.0,6.0,6.0,2.0,6.0,20.0,2.0,4,2,2,9,Au,4,4,4,,,,,9.600000000000001,10.666666666666666,4.266666666666667,1.0,1.0
13,R_3hmchTvtsSCGekS,6.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,2.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,6.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,6.0,4.0,2.0,3.0,1.0,4.0,7.0,3.0,6.0,4.0,3.0,7.0,,2.0,5,5,5,10,,,,,,4,5,4,14.8,8.666666666666666,6.4,2.0,2.0
14,R_1ez7LM5QVzdOsCF,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,5.0,7.0,2.0,1.0,3.0,4.0,1.0,7.0,4.0,5.0,4.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,7.0,21.0,1.0,5,5,4,10,,,,,European,4,4,4,16.400000000000002,9.666666666666666,6.4,2.0,0.0
15,R_1oG7nS9YUkW5Rjj,4.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,25.0,2.0,2,3,3,9,Australia,2,3,3,Chinese,2,3,3,11.200000000000001,8.333333333333332,6.4,2.0,1.0
16,R_3FX06ZfUvx3UBBO,6.0,6.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,21.0,1.0,4,3,4,10,,,,,China ,5,3,3,12.4,7.666666666666666,5.066666666666666,0.0,1.0
17,R_2zUCvLn6OObBWqi,5.0,4.0,4.0,4.0,6.0,3.0,5.0,5.0,6.0,3.0,6.0,6.0,6.0,5.0,6.0,2.0,2.0,2.0,6.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,7.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,19.0,2.0,4,3,4,10,,,,,Chinese,4,4,4,10.4,8.333333333333332,6.133333333333333,2.0,2.0
18,R_C8M7m3J7etFaLFD,5.0,3.0,5.0,5.0,6.0,3.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,6.0,3.0,1.0,2.0,1.0,5.0,4.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,1.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,21.0,1.0,4,4,4,9,Australia,4,4,4,Chinese,4,4,4,10.8,9.666666666666666,5.6,2.0,1.0
19,R_277t9ll9gjE7bx0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,1.0,7.0,7.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,20.0,1.0,5,5,5,9,"Yes, Australia",4,4,4,Chinese ,5,5,5,14.0,9.666666666666666,4.266666666666667,2.0,1.0
20,R_1IYNAr82tXuQAyO,7.0,3.0,6.0,5.0,7.0,3.0,2.0,3.0,3.0,1.0,5.0,6.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,26.0,1.0,4,2,4,9,"USA, SPAIN, CHINA.",4,2,4,caucasian european ,4,2,4,12.4,4.666666666666666,4.0,0.0,0.0
21,R_1Q3HWWcQEB6iD5J,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,6.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,32.0,2.0,3,3,3,9,Yes ,3,4,,Estonian,4,4,4,12.4,7.333333333333333,4.533333333333333,0.0,0.0
22,R_pg7RVg17TMXjpYJ,7.0,6.0,7.0,6.0,6.0,5.0,3.0,5.0,2.0,2.0,4.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,2.0,4.0,6.0,6.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,1.0,5.0,6.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,6.0,2.0,4.0,3.0,24.0,2.0,5,5,5,9,Australia ,5,5,5,French,5,5,4,14.8,5.333333333333333,6.133333333333333,0.0,0.0
23,R_2vYxdtjexefUJKX,6.0,5.0,5.0,6.0,6.0,3.0,6.0,5.0,5.0,4.0,3.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,1.0,2.0,52.0,2.0,2,2,3,9,"Fiji, Hong Kong",4,3,3,Caucasian,4,4,4,12.4,7.666666666666666,6.133333333333333,0.0,0.0
24,R_3lGonWIT4mIOB8m,5.0,7.0,7.0,6.0,5.0,5.0,7.0,4.0,3.0,4.0,5.0,6.0,4.0,6.0,4.0,2.0,2.0,1.0,2.0,2.0,6.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,6.0,4.0,5.0,3.0,5.0,2.0,5.0,6.0,4.0,4.0,4.0,3.0,6.0,20.0,2.0,3,5,4,10,,,,,,4,4,3,14.0,7.666666666666666,5.333333333333333,0.0,0.0
25,R_2dmu0L6m9JIxrn2,7.0,7.0,6.0,6.0,3.0,6.0,5.0,6.0,6.0,4.0,6.0,3.0,6.0,2.0,6.0,1.0,3.0,2.0,5.0,1.0,6.0,5.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,6.0,4.0,5.0,4.0,2.0,6.0,19.0,2.0,4,4,5,10,,,,,Vietnamese,2,3,2,14.0,9.0,4.533333333333333,2.0,2.0
26,R_2UXSIAgFNlWMtGl,4.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,24.0,2.0,4,3,3,9,Malaysia,4,3,3,Malaysian Chinese,4,3,3,12.8,9.666666666666666,4.8,2.0,2.0
27,R_UoVcwpHbLMDRwEV,6.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,5.0,19.0,2.0,4,4,4,9,Australia,3,4,4,chinese ,3,4,4,13.600000000000001,8.333333333333332,5.866666666666666,2.0,1.0
28,R_22EQ9U94uLfNF8U,5.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,4.0,4.0,7.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,2.0,6.0,3.0,5.0,5.0,4.0,6.0,19.0,2.0,4,4,2,9,Australia,5,5,4,Chinese-Indonesian,4,4,2,10.4,8.333333333333332,5.333333333333333,2.0,1.0
29,R_3lubZVQ7jfs49z4,4.0,4.0,5.0,4.0,3.0,4.0,3.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,24.0,2.0,4,4,4,9,Melbourne ,3,4,3,Chinese ,4,4,4,9.600000000000001,8.0,6.133333333333333,1.0,1.0
30,R_3plGJt9hs2kN1HQ,2.0,2.0,3.0,5.0,3.0,2.0,3.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,1.0,3.0,2.0,6.0,6.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,2.0,6.0,2.0,6.0,2.0,6.0,2.0,3.0,6.0,20.0,2.0,5,4,2,9,Australia ,5,4,5,Chinese,4,4,2,6.800000000000001,9.333333333333332,7.466666666666667,,1.0
31,R_1ISHSqbkODj2rIp,7.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,6.0,3.0,6.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,21.0,2.0,3,4,4,10,,,,,Italian,4,4,4,13.600000000000001,8.666666666666666,4.266666666666667,2.0,0.0
32,R_2RVzJtSIE8iqrD1,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,20.0,1.0,2,2,5,10,,,,,Caucasian,4,3,5,13.200000000000001,10.333333333333332,6.666666666666667,2.0,0.0
33,R_3ivTvRfPMnu7wtT,6.0,5.0,5.0,6.0,6.0,3.0,4.0,6.0,5.0,5.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,2.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,5.0,7.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,20.0,2.0,5,4,5,9,Ireland,4,4,2,White,4,4,5,12.4,8.333333333333332,6.4,2.0,0.0
34,R_1kHMXv5iZnxY09T,5.0,3.0,6.0,5.0,6.0,3.0,1.0,3.0,4.0,6.0,5.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,32.0,2.0,5,4,5,9,"California, USA",5,2,2,White,3,3,3,11.200000000000001,6.333333333333333,4.266666666666667,0.0,0.0
35,R_25yB3fACm2oguru,5.0,6.0,6.0,7.0,7.0,3.0,6.0,5.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,7.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,6.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,6.0,6.0,6.0,3.0,5.0,21.0,1.0,5,5,4,10,,,,,Chinese,4,4,4,13.600000000000001,8.666666666666666,5.333333333333333,2.0,2.0
36,R_2s5BrRKZb8ii8mB,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,20.0,2.0,4,3,4,9,Australia,2,3,3,Chinese,4,4,4,9.600000000000001,8.333333333333332,4.8,1.0,1.0
