,ResponseId,Dignity_1,Dignity_2,Dignity_3,Dignity_4,Dignity_5,Dignity_6,Face_1,Face_2,Face_3,Face_4,Face_5,Honour_1,Honour_2,Honour_3,Honour_4,SINS_1,SINS_2,SINS_3,SINS_4,SINS_5,SINS_6,SINS_7,SINS_8,SINS_9,SINS_10,SINS_11,SINS_12,SINS_13,SINS_14,SINS_15,SINS_16,SINS_17,SINS_18,SINS_19,SINS_20,SINS_21,SINS_22,SINS_23,SINS_24,SINS_25,SINS_26,SINS_27,SINS_28,SINS_29,SINS_30,SINS_31,SINS_32,Age,Gender,D6_1,D6_2,D6_3,D7,D7_9_TEXT,D8_1,D8_2,D8_3,D9,D10_1,D10_2,D10_3,Dignity_score,Face_score,Honour_score,Bio_Score,Bio_Birth
37,R_1OwqOkOwhwryLrh,5.0,4.0,3.0,5.0,5.0,3.0,5.0,6.0,3.0,3.0,5.0,6.0,7.0,5.0,6.0,1.0,5.0,1.0,5.0,5.0,7.0,7.0,2.0,5.0,3.0,4.0,2.0,5.0,7.0,2.0,3.0,5.0,5.0,1.0,5.0,5.0,7.0,5.0,2.0,2.0,4.0,7.0,1.0,6.0,6.0,6.0,5.0,20.0,1.0,4,5,5,10,,,,,Chinese,3,1,1,10.0,7.333333333333333,6.4,0.0,2.0
38,R_diMVmT5flwvZ3Yl,7.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,3.0,5.0,2.0,5.0,5.0,2.0,4.0,5.0,1.0,5.0,1.0,7.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,5.0,5.0,2.0,5.0,6.0,3.0,6.0,5.0,2.0,5.0,6.0,3.0,5.0,6.0,5.0,5.0,6.0,3.0,3.0,18.0,2.0,4,4,3,10,,,,,Caucasian and Greek,4,4,3,14.8,8.0,3.7333333333333334,2.0,0.0
39,R_1FawQI7pAAsSw7L,6.0,5.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,2.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,2.0,5.0,5.0,7.0,5.0,3.0,3.0,2.0,6.0,2.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,21.0,1.0,5,5,5,10,,,,,Chinese,4,5,5,14.8,9.0,6.4,2.0,2.0
40,R_2zceLWtJS0TgP1s,5.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,22.0,2.0,4,4,4,10,,,,,"English, Scottish, Welsh, Norwegian ",4,3,4,13.200000000000001,8.666666666666666,4.533333333333333,2.0,0.0
41,R_2Pw0cVrgz2kxIMe,6.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,2.0,6.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,6.0,3.0,6.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,3.0,6.0,20.0,2.0,5,5,5,10,,,,,Vietnamese,1,2,1,14.8,10.0,5.866666666666666,2.0,0.0
42,R_AnVMh86B7Zr6jRL,6.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,2.0,6.0,5.0,6.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,22.0,2.0,5,5,4,10,,,,,Australian,4,4,4,13.200000000000001,7.0,5.6,0.0,0.0
43,R_1DnDBWi0Sg5FAIA,5.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,1.0,3.0,1.0,4.0,2.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,4.0,2.0,5.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,21.0,1.0,4,3,3,10,,,,,Australian,4,3,3,13.600000000000001,9.333333333333332,5.866666666666666,2.0,0.0
44,R_2tbu8fwixrMNeQM,3.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,1.0,2.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,6.0,1.0,4.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,7.0,20.0,2.0,2,4,4,10,,,,,Anglo-saxon ,4,4,5,13.200000000000001,10.0,5.866666666666666,2.0,0.0
45,R_1OxUQXNo1zEWw6D,5.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,2.0,5.0,4.0,2.0,2.0,5.0,6.0,5.0,5.0,6.0,2.0,1.0,2.0,6.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,6.0,2.0,6.0,3.0,2.0,3.0,5.0,5.0,5.0,22.0,2.0,4,4,2,9,Yes,4,,,Chinese,5,5,4,13.200000000000001,9.0,7.2,,2.0
46,R_2AMY1tE3FBsLZcs,6.0,6.0,7.0,6.0,7.0,6.0,4.0,6.0,6.0,6.0,6.0,2.0,6.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,18.0,2.0,3,4,2,10,,,,,Australian ,3,4,2,15.200000000000001,9.333333333333332,4.8,2.0,0.0
47,R_1je8tQ8Dw7tnNcK,7.0,5.0,7.0,7.0,4.0,5.0,6.0,4.0,7.0,5.0,6.0,6.0,2.0,6.0,6.0,4.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,4.0,4.0,7.0,5.0,5.0,5.0,2.0,2.0,6.0,2.0,4.0,5.0,2.0,6.0,21.0,1.0,2,3,4,10,,,,,Australian / Scottish,2,3,4,14.0,9.333333333333332,5.333333333333333,2.0,0.0
48,R_1LkBHMIIHI6SjNt,6.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,3.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,5.0,4.0,6.0,21.0,2.0,4,4,4,10,,,,,Australian,,4,4,14.4,8.666666666666666,4.8,2.0,0.0
49,R_2c8gHShKYGvj5yh,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0,6.0,6.0,6.0,2.0,3.0,3.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,3.0,3.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,4.0,3.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0,20.0,2.0,5,3,5,10,,,,,Australian,5,3,4,14.0,8.0,6.4,2.0,0.0
50,R_ezIi2UMV4MwoodH,5.0,2.0,3.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,20.0,2.0,2,1,2,,,2,2,2,Australia ,2,1,2,10.8,5.666666666666666,5.333333333333333,0.0,0.0
51,R_1fkiouJj53FeMj2,5.0,5.0,6.0,6.0,6.0,5.0,3.0,6.0,2.0,2.0,4.0,6.0,6.0,5.0,6.0,2.0,3.0,1.0,5.0,5.0,7.0,7.0,2.0,2.0,3.0,2.0,3.0,2.0,6.0,2.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,7.0,21.0,1.0,4,4,4,10,,,,,Australian,,4,4,13.200000000000001,5.666666666666666,6.133333333333333,0.0,0.0
52,R_1E0R92gOiu6bxzL,7.0,5.0,7.0,7.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,6.0,6.0,2.0,1.0,5.0,5.0,6.0,3.0,6.0,2.0,1.0,6.0,5.0,3.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,20.0,2.0,5,4,3,9,England,2,4,3,Australian,5,5,3,15.200000000000001,9.0,5.6,2.0,0.0
53,R_3fejI4x8EnnvFJd,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,45.0,2.0,5,4,4,9,Japan ,4,4,4,Australia ,4,4,4,14.0,8.333333333333332,5.333333333333333,2.0,0.0
54,R_4N2CRYB6YDYkOCR,5.0,3.0,5.0,5.0,6.0,3.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,21.0,1.0,1,1,2,9,Australia ,5,5,5,Australian,5,5,5,10.8,11.0,6.133333333333333,2.0,2.0
55,R_2wbt3SkvocGNkTG,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0,6.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,1.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,6.0,6.0,2.0,6.0,6.0,6.0,3.0,3.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0,22.0,2.0,4,4,5,10,,,,,Caucasian ,5,5,5,13.600000000000001,8.333333333333332,4.533333333333333,2.0,0.0
56,R_1pysTtsXIO7vfRz,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,3.0,2.0,6.0,2.0,5.0,2.0,4.0,3.0,22.0,1.0,4,4,4,10,,,,,White,4,4,3,14.0,8.666666666666666,5.333333333333333,2.0,0.0
57,R_11ZzticlJsifMqG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,20.0,2.0,5,1,2,10,,,,,White,4,3,3,12.0,8.666666666666666,5.6,2.0,0.0
58,R_1JDs167OggPl2xt,6.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,5.0,3.0,6.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,5.0,3.0,7.0,6.0,2.0,2.0,3.0,3.0,6.0,6.0,7.0,3.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,3.0,5.0,7.0,21.0,1.0,5,2,1,9,Spain,4,2,4,Italian,5,5,5,12.8,6.666666666666666,7.466666666666667,,0.0
59,R_24FZDHQHWs5EQFa,5.0,5.0,6.0,5.0,6.0,6.0,2.0,5.0,4.0,2.0,5.0,5.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,5.0,6.0,1.0,3.0,2.0,5.0,1.0,6.0,3.0,4.0,5.0,21.0,2.0,5,4,4,10,,,,,Caucasian,5,5,5,13.200000000000001,6.0,5.066666666666666,0.0,0.0
60,R_2rC3ZyzYVoBnxze,5.0,3.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,2.0,5.0,6.0,5.0,6.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,5.0,3.0,5.0,4.0,6.0,3.0,3.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,22.0,2.0,5,3,4,10,,,,,"White, United Kingdom",2,1,1,12.8,6.666666666666666,5.333333333333333,0.0,0.0
61,R_20ZKCKMEICQvSyn,5.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,3.0,7.0,5.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,6.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,6.0,22.0,2.0,5,5,5,10,,,,,Dutch,4,5,3,14.8,10.0,5.066666666666666,2.0,0.0
62,R_2QQHG96hHYwibak,6.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,6.0,22.0,1.0,2,2,4,10,,,,,Asian,4,4,4,14.4,9.666666666666666,5.333333333333333,2.0,1.0
63,R_uwAf8qzDnGkjDOh,6.0,4.0,5.0,5.0,6.0,3.0,2.0,6.0,5.0,2.0,5.0,5.0,5.0,5.0,7.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,21.0,2.0,5,4,3,9,Australia,4,3,3,Chinese,5,4,3,11.600000000000001,6.666666666666666,5.866666666666666,0.0,1.0
64,R_4I8Ryd47govYNxv,6.0,7.0,7.0,7.0,6.0,3.0,3.0,2.0,1.0,2.0,3.0,6.0,6.0,6.0,5.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,19.0,2.0,4,4,3,10,,,,,Australian ,4,4,3,14.4,3.6666666666666665,6.133333333333333,0.0,0.0
65,R_3pu7nZ5oDgWe4hh,6.0,3.0,7.0,4.0,6.0,7.0,5.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,21.0,2.0,5,3,4,9,Australia,4,3,3,Chinese,4,4,4,13.200000000000001,8.666666666666666,5.066666666666666,2.0,1.0
66,R_6ECbp4F3QuM7Jdf,6.0,6.0,6.0,6.0,3.0,5.0,3.0,4.0,6.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,20.0,2.0,2,4,4,10,,,,,Multiracial (Asian and British),2,4,4,12.8,6.666666666666666,4.8,0.0,2.0
67,R_3G9419e5XexDOSs,6.0,5.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,3.0,1.0,5.0,6.0,5.0,5.0,3.0,2.0,2.0,5.0,1.0,2.0,5.0,3.0,2.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,5.0,2.0,5.0,2.0,1.0,5.0,21.0,2.0,2,4,2,9,philippines,4,4,2,asian,4,4,4,13.200000000000001,10.0,6.666666666666667,2.0,1.0
68,R_27sqdMSff1wVVEW,6.0,6.0,6.0,5.0,5.0,2.0,5.0,5.0,6.0,3.0,6.0,4.0,6.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,6.0,6.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,7.0,20.0,2.0,4,3,3,9,Australia,3,2,4,Asian; Chinese-Indonesian,4,3,4,12.0,8.333333333333332,5.066666666666666,2.0,1.0
69,R_2WwEof9acHii0eD,6.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,21.0,2.0,4,4,4,9,Scotland and Australia,4,4,3,British ,4,3,2,14.4,8.666666666666666,4.0,2.0,2.0
70,R_OKa25PKpVj6eT17,5.0,5.0,6.0,5.0,5.0,5.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,1.0,5.0,2.0,3.0,7.0,2.0,1.0,3.0,5.0,2.0,5.0,3.0,2.0,2.0,6.0,6.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,23.0,2.0,5,4,4,10,,,,,Australian ,5,4,5,12.4,7.0,6.133333333333333,0.0,0.0
71,R_71A2jJEvHViyoIV,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,3.0,4.0,4.0,21.0,2.0,5,5,5,9,Melbourne,3,3,3,Chinese,5,5,5,10.4,7.666666666666666,6.4,0.0,1.0
72,R_1MYrZ94NtVOEyCc,5.0,5.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,6.0,5.0,3.0,2.0,3.0,5.0,3.0,2.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,52.0,1.0,4,4,2,9,Hong Kong,4,4,3,Bogan,4,4,2,11.200000000000001,8.0,5.6,2.0,0.0
73,R_3Ca5jXbUxwBZrm9,5.0,7.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,4.0,6.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,19.0,2.0,4,5,4,10,,,,,Caucasian,4,5,4,13.600000000000001,10.0,5.333333333333333,2.0,0.0
74,R_1j6ur7c3pbkd09A,6.0,5.0,5.0,6.0,7.0,2.0,7.0,7.0,7.0,2.0,6.0,6.0,5.0,5.0,6.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,4.0,4.0,6.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,3.0,21.0,2.0,3,4,3,9,Australia,4,3,4,,4,4,4,12.4,9.666666666666666,5.866666666666666,2.0,1.0
75,R_8cfszMsNG7ac6wV,6.0,6.0,6.0,4.0,3.0,2.0,6.0,6.0,5.0,4.0,5.0,6.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,6.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,22.0,2.0,4,2,2,10,,,,,Asian,4,4,4,10.8,8.666666666666666,6.666666666666667,2.0,1.0
76,R_25z1E67g35epKIj,7.0,7.0,7.0,5.0,2.0,2.0,4.0,3.0,5.0,1.0,6.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,3.0,1.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,6.0,23.0,1.0,5,5,3,10,,,,,Greek,4,3,3,12.0,6.333333333333333,5.066666666666666,0.0,0.0
